,ID,Surveyed Date,Surveyed Time,Surveyed End Date,What brings you to this neighborhood today?,How often do you visit the neighborhood?,How much time do you typically spend when you visit?,How do you typically get to this neighborhood? Select Primary (next: secondary),How do you typically get to this neighborhood? (select secondary),How much money do you typically spend when you visit? (at businesses in the area),"In this neighborhood, how often do you recognize someone by face or name?",This neighborhood is clean and well-maintained?,This neighborhood is safe?,This neighborhood is attractive?,This neighborhood is active and lively?,This neighborhood is a place where its easy to talk to others? (who I may not have known before),This neighborhood has a strong identity?,This neighborhood is in an area with a lot of noise?,"When you visit the neighborhood, how often are you accompanied by anyone under 16 years old?","When you visit the neighborhood, how often are you accompanied by anyone over 65 years old?","When you visit the neighborhood, how often are you accompanied by anyone mobility assisted?","When you visit the neighborhood, how often are you accompanied by anyone who is a family member?",What year were you born?,Your gender identity?,Your ethnic identity?,Your racial identity?,What is your home zipcode?,Is it raining?,Location,Location Between,Location Between AND,Side of street for this interview,I live here,I work here,Passing through en route to somewhere else,Clinic,To meet friends,To shop,Dentist,Joining brother at the dentist,For music / art,Going to/from school,To dine / drink,Attractions,Fun,Fresh air,Volunteer,lat,lng,frmt_addrss,zipcode,area,lat_lng_geotype
10,9353268,05/27/2015,9:51:42,05/27/2015 09:55:00 AM,"I Live Here, I Work Here",Daily,10-30 minutes,Bus,Bus,None,Never,Moderately Disagree,,Moderately Disagree,,Moderately Disagree,,Moderately Agree,Never,Never,Never,Never,1996.0,Male,Hispanic or Latino,White,91340.0,No,Van Nuys,,,West,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
11,9353270,05/27/2015,10:01:44,05/27/2015 10:04:00 AM,I Live Here,Daily,,On foot,Car,$10-30,Often,,,,,,Don't Know / No Opinion,Don't Know / No Opinion,Never,Never,Never,Sometimes,,Male,Hispanic or Latino,White,91331.0,No,Van Nuys,,,West,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
12,9353272,05/27/2015,10:20:43,05/27/2015 10:24:00 AM,I Work Here,Daily,10-30 minutes,Bus,Bus,None,Sometimes,Moderately Disagree,Moderately Agree,Moderately Agree,,Moderately Disagree,,Moderately Disagree,Never,Sometimes,Never,Sometimes,1997.0,Female,Hispanic or Latino,White,91330.0,No,Van Nuys,laurel canyon,San Fernando Rd.,West,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
13,9353273,05/27/2015,12:07:48,05/27/2015 12:11:00 PM,I Work Here,Daily,,Bus,Bus,$5-10,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Disagree,,Moderately Disagree,Sometimes,Never,Never,Sometimes,1970.0,Female,Hispanic or Latino,White,91402.0,No,Van Nuys,san fernando rd,Laurel Canyon,West,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2660955,-118.4221176,San Fernando Road & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
14,9353274,05/27/2015,12:13:37,05/27/2015 12:16:00 PM,Passing through en route to somewhere else,Several times a month,< 10 minutes,Bus,Bus,None,Never,,Moderately Agree,,,Moderately Agree,,,Never,Never,Never,Never,,Female,Hispanic or Latino,White,,No,Van Nuys,,,West,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
15,9353275,05/27/2015,12:16:34,05/27/2015 12:20:00 PM,I Live Here,Daily,10-30 minutes,On foot,On foot,$10-30,Never,Moderately Disagree,Moderately Disagree,,,,,Moderately Agree,Never,Never,Never,Never,1995.0,Female,Hispanic or Latino,White,91331.0,No,Van Nuys,,,West,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
16,9343448,05/27/2015,12:37:51,05/27/2015 12:44:00 PM,I Live Here,Daily,,Bus,,Greater than $30,Very often,Moderately Disagree,,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Often,Sometimes,Never,Often,1985.0,Female,Hispanic or Latino,White,91331.0,No,Van Nuys,laurel canyon,San Fernando Rd. ,South,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
17,9353276,05/27/2015,12:39:32,05/27/2015 01:21:00 PM,I Live Here,Several times a month,10-30 minutes,On foot,Bus,None,Sometimes,Don't Know / No Opinion,Moderately Disagree,,,,,Moderately Agree,Sometimes,Sometimes,Sometimes,Sometimes,,Female,Hispanic or Latino,White,93133.0,No,Van Nuys,,,West,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
18,9343464,05/27/2015,12:45:09,05/27/2015 12:51:00 PM,I Work Here,Once a week,10-30 minutes,Car,Bus,$10-30,Very often,Moderately Disagree,Strongly Agree,Don't Know / No Opinion,Moderately Disagree,Strongly Agree,,Strongly Agree,Often,Never,Never,Never,1965.0,Male,Hispanic or Latino,White,90015.0,No,Van Nuys,laurel canyon blvd,San Fernando Rd. ,South,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
19,9418906,06/02/2015,15:14:32,06/02/2015 03:16:00 PM,To meet friends,,10-30 minutes,Bus,Bus,None,Never,,,,,,,,Never,Never,Never,Never,,Female,Hispanic or Latino,White,90063.0,No,Central Ave,,,East,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,
20,9343465,05/27/2015,12:52:10,05/27/2015 12:59:00 PM,I Live Here,Daily,,On foot,On foot,$5-10,Very often,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Agree,,Strongly Disagree,Sometimes,Sometimes,Never,Never,1943.0,Male,Non-Hispanic,White,91109.0,No,Van Nuys,laurel canyon blvd,San Fernando Rd. ,South,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
21,9343466,05/27/2015,13:03:16,05/27/2015 01:09:00 PM,I Live Here,Once a month,,On foot,,$10-30,Never,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Often,Never,Never,Often,1975.0,Female,Hispanic or Latino,Latino ,91331.0,No,Van Nuys,laurel canyon blvd,San Fernando Rd. ,North,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
22,9343467,05/27/2015,13:10:16,05/27/2015 01:16:00 PM,"Passing through en route to somewhere else, To meet friends",Daily,,Bike,Bus,Less than $5,Often,Moderately Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Never,Often,Sometimes,Never,1942.0,Male,Hispanic or Latino,White,91311.0,No,Van Nuys,laurel canyon blvd,San Fernando Rd. ,North,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
23,9343468,05/27/2015,13:28:35,05/27/2015 01:41:00 PM,I Work Here,Daily,,Car,Car,None,Often,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Strongly Agree,Never,Never,Never,Sometimes,1977.0,Male,Hispanic or Latino,hispanic,91606.0,No,Van Nuys,laurel canyon blvd,San Fernando Rd. ,South,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
24,9353277,05/27/2015,13:41:45,05/27/2015 01:46:00 PM,I Live Here,Daily,10-30 minutes,On foot,Bus,$5-10,Often,Moderately Disagree,Moderately Disagree,Moderately Agree,,,,Moderately Agree,Never,Sometimes,Sometimes,Sometimes,,Female,Hispanic or Latino,White,91331.0,No,Van Nuys,san fernando rd,Laurel Canyon,West,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2660955,-118.4221176,San Fernando Road & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
25,9353278,05/27/2015,13:46:39,05/27/2015 01:48:00 PM,I Live Here,Daily,10-30 minutes,On foot,Bus,$5-10,Often,Moderately Disagree,Strongly Disagree,,,,,Moderately Agree,Never,Sometimes,Never,Sometimes,,Female,Hispanic or Latino,White,91331.0,No,Van Nuys,,,West,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
26,9343469,05/27/2015,13:47:37,05/27/2015 01:56:00 PM,I Live Here,Daily,,Car,On foot,Less than $5,Very often,Strongly Disagree,Strongly Disagree,Moderately Disagree,,,,Strongly Agree,Never,Sometimes,Never,Sometimes,1979.0,Male,Hispanic or Latino,White,91340.0,No,Van Nuys,laurel canyon blvd,San Fernando Rd. ,South,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
27,9353279,05/27/2015,13:56:13,05/27/2015 01:58:00 PM,Passing through en route to somewhere else,Daily,10-30 minutes,Bus,Bus,None,Never,,Moderately Disagree,,,Moderately Agree,,,Never,Never,Never,Never,1973.0,Female,Hispanic or Latino,White,91402.0,No,Van Nuys,,,West,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
28,9353280,05/27/2015,13:59:35,05/27/2015 02:03:00 PM,I Live Here,Several times a week,10-30 minutes,Car,On foot,$5-10,Often,Moderately Disagree,,,,,,,Never,Never,Never,Never,1984.0,Female,Hispanic or Latino,White,91331.0,No,Van Nuys,,,West,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
29,9343470,05/27/2015,14:48:34,05/27/2015 02:55:00 PM,clinic ,Once a month,,Car,,$10-30,Never,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Often,Never,Never,Often,1986.0,Male,Hispanic or Latino,White,91331.0,No,Van Nuys,laurel canyon blvd,San Fernando Rd. ,South,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
30,9343471,05/27/2015,15:22:20,05/27/2015 03:26:00 PM,I Work Here,Daily,,Car,Bus,$10-30,Very often,Moderately Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,,Strongly Agree,Never,Never,Never,Sometimes,1993.0,Female,Hispanic or Latino,White,91402.0,No,Van Nuys,laurel canyon blvd,San Fernando Rd. ,South,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
31,9343472,05/27/2015,15:27:01,05/27/2015 03:33:00 PM,"I Live Here, I Work Here",Daily,,Car,,$10-30,Very often,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Disagree,Often,Sometimes,Never,Never,1995.0,Female,Hispanic or Latino,Mexican ,91331.0,No,Van Nuys,san fernando rd,Laurel Canyon blvd. ,South,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2660955,-118.4221176,San Fernando Road & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
32,9343473,05/27/2015,15:33:42,05/27/2015 03:46:00 PM,"I Live Here, I Work Here",Daily,,Car,,Greater than $30,Often,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Strongly Agree,Never,Never,Never,Often,1989.0,Female,Hispanic or Latino,White,91340.0,No,Van Nuys,laurel canyon blvd,San Fernando Rd. ,South,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
33,9343474,05/27/2015,15:46:42,05/27/2015 03:51:00 PM,I Live Here,Daily,,On foot,On foot,$10-30,Sometimes,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Agree,,Strongly Agree,Often,Never,Never,Often,2000.0,Female,Hispanic or Latino,Native American,91331.0,No,Van Nuys,laurel canyon blvd,San Fernando Rd. ,South,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
34,9343475,05/27/2015,15:54:55,05/27/2015 04:01:00 PM,Passing through en route to somewhere else,Daily,10-30 minutes,Bus,,$5-10,Often,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,,Moderately Agree,Strongly Agree,Never,Never,Never,Sometimes,1991.0,Male,Hispanic or Latino,Mexican ,91342.0,No,Van Nuys,laurel canyon blvd,San Fernando Rd. ,South,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
35,9343476,05/27/2015,16:16:51,05/27/2015 04:21:00 PM,Passing through en route to somewhere else,Daily,30 minutes - 1 hour,Bus,Bus,$10-30,Sometimes,Moderately Disagree,Moderately Agree,Moderately Disagree,,,,Moderately Agree,Never,Never,Never,Sometimes,1997.0,Male,Hispanic or Latino,Mexican ,91304.0,No,Van Nuys,laurel canyon blvd,San Fernando Rd. ,South,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
36,9343477,05/27/2015,16:38:18,05/27/2015 04:43:00 PM,I Work Here,Daily,,Car,Bus,$5-10,Often,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Sometimes,Sometimes,Sometimes,Sometimes,1971.0,Female,Hispanic or Latino,Asian,91344.0,No,Van Nuys,laurel canyon blvd,San Fernando Blvd. ,South,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,34.2587903,-118.4321397,Laurel Canyon Boulevard & Van Nuys Boulevard,91331,Pacoima,GEOMETRIC_CENTER
37,9416532,06/02/2015,7:47:44,06/02/2015 07:50:00 AM,I Work Here,Daily,10-30 minutes,Bus,Bus,None,Sometimes,Moderately Disagree,Moderately Disagree,,,Moderately Disagree,,,,,,,,Female,Hispanic or Latino,White,,No,Central Ave,vernon,mlk jr.,East,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,34.0039416,-118.2564986,East Vernon Avenue & South Central Avenue,90011,South Los Angeles,GEOMETRIC_CENTER
38,9416533,06/02/2015,7:52:09,06/02/2015 07:56:00 AM,I Live Here,Daily,30 minutes - 1 hour,Car,Bus,$5-10,Often,Strongly Disagree,Moderately Agree,Moderately Disagree,,Moderately Agree,,,Sometimes,Never,Never,Sometimes,,Female,Hispanic or Latino,White,90011.0,No,Central Ave,vernon,MLK Jr.,East,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34.0039416,-118.2564986,East Vernon Avenue & South Central Avenue,90011,South Los Angeles,GEOMETRIC_CENTER
39,9416534,06/02/2015,8:03:53,06/02/2015 08:07:00 AM,I Live Here,Daily,10-30 minutes,Bus,On foot,None,Never,Moderately Disagree,,,,,,,Never,Never,Never,Never,1970.0,Male,Hispanic or Latino,White,90037.0,No,Central Ave,,,East,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
40,9416535,06/02/2015,8:07:10,06/02/2015 08:17:00 AM,I Work Here,Several times a week,10-30 minutes,Bus,Bus,None,Sometimes,,,Moderately Agree,,,,Moderately Agree,Never,Never,Never,Never,1984.0,Female,Hispanic or Latino,White,,No,Central Ave,vernon,MLK Jr.,East,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,34.0039416,-118.2564986,East Vernon Avenue & South Central Avenue,90011,South Los Angeles,GEOMETRIC_CENTER
41,9416536,06/02/2015,8:17:21,06/02/2015 08:18:00 AM,I Live Here,Daily,,On foot,Bus,$5-10,Often,Moderately Disagree,,,,Moderately Agree,Moderately Agree,,Never,Sometimes,Sometimes,Sometimes,1941.0,Male,Non-Hispanic,Black,90011.0,No,Central Ave,,,East,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
42,9416537,06/02/2015,9:05:44,06/02/2015 09:08:00 AM,I Live Here,Daily,< 10 minutes,Bus,On foot,None,Often,Moderately Disagree,Moderately Disagree,,,Moderately Agree,,Moderately Disagree,Never,Never,Never,Never,,Male,Non-Hispanic,Black,90011.0,No,Central Ave,,,East,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
43,9416538,06/02/2015,9:10:12,06/02/2015 09:12:00 AM,I Live Here,Daily,10-30 minutes,Bus,On foot,$10-30,Never,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Agree,,,Sometimes,Never,Never,Sometimes,,Female,Hispanic or Latino,White,90011.0,No,Central Ave,,,East,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
44,9416539,06/02/2015,9:15:44,06/02/2015 09:19:00 AM,clinic,Several times a month,,Bus,Bus,None,Never,Strongly Disagree,,Moderately Disagree,,Moderately Agree,,Moderately Agree,Never,Never,Never,Never,1951.0,Female,Hispanic or Latino,White,90280.0,No,Central Ave,,,East,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
45,9416540,06/02/2015,9:23:32,06/02/2015 09:25:00 AM,"Passing through en route to somewhere else, To shop",,10-30 minutes,Bus,Bus,$5-10,Never,Moderately Disagree,,,,,,Moderately Agree,Never,Never,Never,Never,,Male,Hispanic or Latino,White,,No,Central Ave,,,East,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,
46,9416541,06/02/2015,9:25:54,06/02/2015 09:28:00 AM,I Live Here,Several times a week,10-30 minutes,On foot,On foot,$10-30,Never,Moderately Disagree,Moderately Agree,Moderately Agree,,Moderately Agree,,Moderately Disagree,Often,Never,Never,Often,1977.0,Female,Hispanic or Latino,White,90011.0,No,Central Ave,,,East,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
47,9416542,06/02/2015,9:30:45,06/02/2015 09:32:00 AM,Passing through en route to somewhere else,,10-30 minutes,Bus,Bus,Less than $5,,Moderately Disagree,Moderately Disagree,Moderately Disagree,,,,Moderately Agree,Never,Never,Never,Never,1951.0,Male,Hispanic or Latino,White,90011.0,No,Central Ave,,,East,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
48,9416543,06/02/2015,9:39:12,06/02/2015 09:41:00 AM,I Live Here,Daily,10-30 minutes,On foot,Bus,$5-10,Never,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Agree,,Moderately Agree,Never,Sometimes,Never,Never,1944.0,Male,Hispanic or Latino,White,90011.0,No,Central Ave,,,East,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
49,9416544,06/02/2015,9:42:14,06/02/2015 09:44:00 AM,Passing through en route to somewhere else,Daily,10-30 minutes,Bus,On foot,Less than $5,Often,Moderately Disagree,,Moderately Disagree,,Moderately Agree,,,Sometimes,Never,Never,Never,,Female,Non-Hispanic,Black,90016.0,No,Central Ave,,,East,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
50,9416545,06/02/2015,9:57:37,06/02/2015 10:00:00 AM,I Live Here,Several times a week,10-30 minutes,Bike,On foot,$5-10,Often,Moderately Agree,Moderately Agree,Moderately Agree,,,,,Sometimes,Never,Never,Sometimes,,Male,Hispanic or Latino,White,90011.0,No,Central Ave,,,East,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
51,9416546,06/02/2015,10:20:53,06/02/2015 10:23:00 AM,Passing through en route to somewhere else,Several times a week,10-30 minutes,On foot,Bus,$10-30,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Agree,,Moderately Agree,Never,Never,Never,Never,,Female,Hispanic or Latino,White,90011.0,No,Central Ave,,,East,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
52,9416547,06/02/2015,10:36:37,06/02/2015 10:41:00 AM,I Live Here,Daily,10-30 minutes,On foot,Bus,None,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Never,Never,Never,Never,,Female,Non-Hispanic,Black,90011.0,No,Central Ave,,,East,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
53,9416548,06/02/2015,10:59:22,06/02/2015 11:01:00 AM,I Live Here,Daily,30 minutes - 1 hour,On foot,Bus,$5-10,Sometimes,,Moderately Disagree,,,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Never,1988.0,Male,Non-Hispanic,Black,90011.0,No,Central Ave,,,East,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
54,9416549,06/02/2015,11:01:44,06/02/2015 11:02:00 AM,"I Live Here, I Work Here",Daily,30 minutes - 1 hour,On foot,Bus,$5-10,Often,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Often,1986.0,Male,Non-Hispanic,Black,90011.0,No,Central Ave,,,East,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
55,9416550,06/02/2015,11:09:23,06/02/2015 11:11:00 AM,I Live Here,Daily,,Bus,On foot,Greater than $30,Often,Moderately Disagree,,Moderately Disagree,,Moderately Agree,,Moderately Agree,Sometimes,Never,Never,Sometimes,,Female,Hispanic or Latino,White,90011.0,No,Central Ave,,,East,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
