ID,Surveyed Date,Surveyed Time,Surveyed End Date,Q1. What brings you to this neighborhood today?,Q2. How often do you visit the neighborhood?,Q3. How much time do you typically spend when you visit?,Q4. How do you typically get to this neighborhood? Select Primary (next: secondary),Q5. How do you typically get to this neighborhood? (select secondary),Q6. How much money do you typically spend when you visit? (at businesses in the area),"Q7. In this neighborhood, how often do you recognize someone by face or name?",Q8. This neighborhood is clean and well-maintained,Q9. This neighborhood is safe,Q10. This neighborhood is attractive,Q11. This neighborhood is active and lively,Q12. This neighborhood is a place where it's easy to talk to others (who I may not have known before),Q13. This neighborhood has a strong identity,Q14. This neighborhood is in an area with a lot of noise,"Q15. When you visit the neighborhood, how often are you accompanied by anyone under 16 years old?","Q16. When you visit the neighborhood, how often are you accompanied by anyone over 65 years old?","Q17. When you visit the neighborhood, how often are you accompanied by anyone mobility assisted?","Q18. When you visit the neighborhood, how often are you accompanied by anyone who is a family member?",Q19. What year were you born?,Q20. Your gender identity:,Q21. Your ethnic identity:,Q22. Your racial identity:,Q23. What is your home zipcode?,Q25. SURVEYOR: Is it raining?,Q26. SURVEYOR: Location,Q27. Location Between __,Q28. Location Between AND __,Q29. SURVEYOR: Side of street for this interview
9353268,05/27/2015,9:51:42,05/27/2015 09:55:00 AM,"I Live Here, I Work Here",Daily,10-30 minutes,Bus,Bus,None,Never,Moderately Disagree,,Moderately Disagree,,Moderately Disagree,,Moderately Agree,Never,Never,Never,Never,1996,Male,Hispanic or Latino,White,91340,No,Van Nuys,,,West
9353270,05/27/2015,10:01:44,05/27/2015 10:04:00 AM,I Live Here,Daily,,On foot,Car,$10-30,Often,,,,,,Don't Know / No Opinion,Don't Know / No Opinion,Never,Never,Never,Sometimes,,Male,Hispanic or Latino,White,91331,No,Van Nuys,,,West
9353272,05/27/2015,10:20:43,05/27/2015 10:24:00 AM,I Work Here,Daily,10-30 minutes,Bus,Bus,None,Sometimes,Moderately Disagree,Moderately Agree,Moderately Agree,,Moderately Disagree,,Moderately Disagree,Never,Sometimes,Never,Sometimes,1997,Female,Hispanic or Latino,White,91330,No,Van Nuys,"Laurel Canyon

",San Fernando Rd.,West
9353273,05/27/2015,12:07:48,05/27/2015 12:11:00 PM,I Work Here,Daily,,Bus,Bus,$5-10,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Disagree,,Moderately Disagree,Sometimes,Never,Never,Sometimes,1970,Female,Hispanic or Latino,White,91402,No,Van Nuys,San Fernando Rd.,Laurel Canyon,West
9353274,05/27/2015,12:13:37,05/27/2015 12:16:00 PM,Passing through en route to somewhere else,Several times a month,< 10 minutes,Bus,Bus,None,Never,,Moderately Agree,,,Moderately Agree,,,Never,Never,Never,Never,,Female,Hispanic or Latino,White,,No,Van Nuys,,,West
9353275,05/27/2015,12:16:34,05/27/2015 12:20:00 PM,I Live Here,Daily,10-30 minutes,On foot,On foot,$10-30,Never,Moderately Disagree,Moderately Disagree,,,,,Moderately Agree,Never,Never,Never,Never,1995,Female,Hispanic or Latino,White,91331,No,Van Nuys,,,West
9343448,05/27/2015,12:37:51,05/27/2015 12:44:00 PM,I Live Here,Daily,,Bus,,Greater than $30,Very often,Moderately Disagree,,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Often,Sometimes,Never,Often,1985,Female,Hispanic or Latino,White,91331,No,Van Nuys,Laurel Canyon ,San Fernando Rd. ,South
9353276,05/27/2015,12:39:32,05/27/2015 01:21:00 PM,I Live Here,Several times a month,10-30 minutes,On foot,Bus,None,Sometimes,Don't Know / No Opinion,Moderately Disagree,,,,,Moderately Agree,Sometimes,Sometimes,Sometimes,Sometimes,,Female,Hispanic or Latino,White,93133,No,Van Nuys,,,West
9343464,05/27/2015,12:45:09,05/27/2015 12:51:00 PM,I Work Here,Once a week,10-30 minutes,Car,Bus,$10-30,Very often,Moderately Disagree,Strongly Agree,Don't Know / No Opinion,Moderately Disagree,Strongly Agree,,Strongly Agree,Often,Never,Never,Never,1965,Male,Hispanic or Latino,White,90015,No,Van Nuys,Laurel Canyon Blvd,San Fernando Rd. ,South
9418906,06/02/2015,15:14:32,06/02/2015 03:16:00 PM,To meet friends,,10-30 minutes,Bus,Bus,None,Never,,,,,,,,Never,Never,Never,Never,,Female,Hispanic or Latino,White,90063,No,Central Ave,,,East
9343465,05/27/2015,12:52:10,05/27/2015 12:59:00 PM,I Live Here,Daily,,On foot,On foot,$5-10,Very often,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Agree,,Strongly Disagree,Sometimes,Sometimes,Never,Never,1943,Male,Non-Hispanic,White,91109,No,Van Nuys,Laurel Canyon Blvd. ,San Fernando Rd. ,South
9343466,05/27/2015,13:03:16,05/27/2015 01:09:00 PM,I Live Here,Once a month,,On foot,,$10-30,Never,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Often,Never,Never,Often,1975,Female,Hispanic or Latino,Latino ,91331,No,Van Nuys,Laurel Canyon Blvd. ,San Fernando Rd. ,North
9343467,05/27/2015,13:10:16,05/27/2015 01:16:00 PM,"Passing through en route to somewhere else, To meet friends",Daily,,Bike,Bus,Less than $5,Often,Moderately Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Never,Often,Sometimes,Never,1942,Male,Hispanic or Latino,White,91311,No,Van Nuys,Laurel Canyon Blvd. ,San Fernando Rd. ,North
9343468,05/27/2015,13:28:35,05/27/2015 01:41:00 PM,I Work Here,Daily,,Car,Car,None,Often,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Strongly Agree,Never,Never,Never,Sometimes,1977,Male,Hispanic or Latino,hispanic,91606,No,Van Nuys,Laurel Canyon Blvd. ,San Fernando Rd. ,South
9353277,05/27/2015,13:41:45,05/27/2015 01:46:00 PM,I Live Here,Daily,10-30 minutes,On foot,Bus,$5-10,Often,Moderately Disagree,Moderately Disagree,Moderately Agree,,,,Moderately Agree,Never,Sometimes,Sometimes,Sometimes,,Female,Hispanic or Latino,White,91331,No,Van Nuys,San Fernando Rd.,Laurel Canyon,West
9353278,05/27/2015,13:46:39,05/27/2015 01:48:00 PM,I Live Here,Daily,10-30 minutes,On foot,Bus,$5-10,Often,Moderately Disagree,Strongly Disagree,,,,,Moderately Agree,Never,Sometimes,Never,Sometimes,,Female,Hispanic or Latino,White,91331,No,Van Nuys,,,West
9343469,05/27/2015,13:47:37,05/27/2015 01:56:00 PM,I Live Here,Daily,,Car,On foot,Less than $5,Very often,Strongly Disagree,Strongly Disagree,Moderately Disagree,,,,Strongly Agree,Never,Sometimes,Never,Sometimes,1979,Male,Hispanic or Latino,White,91340,No,Van Nuys,Laurel Canyon Blvd. ,San Fernando Rd. ,South
9353279,05/27/2015,13:56:13,05/27/2015 01:58:00 PM,Passing through en route to somewhere else,Daily,10-30 minutes,Bus,Bus,None,Never,,Moderately Disagree,,,Moderately Agree,,,Never,Never,Never,Never,1973,Female,Hispanic or Latino,White,91402,No,Van Nuys,,,West
9353280,05/27/2015,13:59:35,05/27/2015 02:03:00 PM,I Live Here,Several times a week,10-30 minutes,Car,On foot,$5-10,Often,Moderately Disagree,,,,,,,Never,Never,Never,Never,1984,Female,Hispanic or Latino,White,91331,No,Van Nuys,,,West
9343470,05/27/2015,14:48:34,05/27/2015 02:55:00 PM,clinic ,Once a month,,Car,,$10-30,Never,Strongly Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Often,Never,Never,Often,1986,Male,Hispanic or Latino,White,91331,No,Van Nuys,Laurel Canyon Blvd. ,San Fernando Rd. ,South
9343471,05/27/2015,15:22:20,05/27/2015 03:26:00 PM,I Work Here,Daily,,Car,Bus,$10-30,Very often,Moderately Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,,Strongly Agree,Never,Never,Never,Sometimes,1993,Female,Hispanic or Latino,White,91402,No,Van Nuys,Laurel Canyon Blvd. ,San Fernando Rd. ,South
9343472,05/27/2015,15:27:01,05/27/2015 03:33:00 PM,"I Live Here, I Work Here",Daily,,Car,,$10-30,Very often,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Disagree,Often,Sometimes,Never,Never,1995,Female,Hispanic or Latino,Mexican ,91331,No,Van Nuys,San Fernando Rd ,Laurel Canyon blvd. ,South
9343473,05/27/2015,15:33:42,05/27/2015 03:46:00 PM,"I Live Here, I Work Here",Daily,,Car,,Greater than $30,Often,Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Strongly Agree,Never,Never,Never,Often,1989,Female,Hispanic or Latino,White,91340,No,Van Nuys,Laurel Canyon Blvd. ,San Fernando Rd. ,South
9343474,05/27/2015,15:46:42,05/27/2015 03:51:00 PM,I Live Here,Daily,,On foot,On foot,$10-30,Sometimes,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Agree,,Strongly Agree,Often,Never,Never,Often,2000,Female,Hispanic or Latino,Native American,91331,No,Van Nuys,Laurel Canyon Blvd. ,San Fernando Rd. ,South
9343475,05/27/2015,15:54:55,05/27/2015 04:01:00 PM,Passing through en route to somewhere else,Daily,10-30 minutes,Bus,,$5-10,Often,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,,Moderately Agree,Strongly Agree,Never,Never,Never,Sometimes,1991,Male,Hispanic or Latino,Mexican ,91342,No,Van Nuys,Laurel Canyon Blvd. ,San Fernando Rd. ,South
9343476,05/27/2015,16:16:51,05/27/2015 04:21:00 PM,Passing through en route to somewhere else,Daily,30 minutes - 1 hour,Bus,Bus,$10-30,Sometimes,Moderately Disagree,Moderately Agree,Moderately Disagree,,,,Moderately Agree,Never,Never,Never,Sometimes,1997,Male,Hispanic or Latino,Mexican ,91304,No,Van Nuys,Laurel Canyon Blvd. ,San Fernando Rd. ,South
9343477,05/27/2015,16:38:18,05/27/2015 04:43:00 PM,I Work Here,Daily,,Car,Bus,$5-10,Often,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Sometimes,Sometimes,Sometimes,Sometimes,1971,Female,Hispanic or Latino,Asian,91344,No,Van Nuys,Laurel Canyon Blvd. ,San Fernando Blvd. ,South
9416532,06/02/2015,7:47:44,06/02/2015 07:50:00 AM,I Work Here,Daily,10-30 minutes,Bus,Bus,None,Sometimes,Moderately Disagree,Moderately Disagree,,,Moderately Disagree,,,,,,,,Female,Hispanic or Latino,White,,No,Central Ave,Vernon,mlk jr.,East
9416533,06/02/2015,7:52:09,06/02/2015 07:56:00 AM,I Live Here,Daily,30 minutes - 1 hour,Car,Bus,$5-10,Often,Strongly Disagree,Moderately Agree,Moderately Disagree,,Moderately Agree,,,Sometimes,Never,Never,Sometimes,,Female,Hispanic or Latino,White,90011,No,Central Ave,Vernon,MLK Jr.,East
9416534,06/02/2015,8:03:53,06/02/2015 08:07:00 AM,I Live Here,Daily,10-30 minutes,Bus,On foot,None,Never,Moderately Disagree,,,,,,,Never,Never,Never,Never,1970,Male,Hispanic or Latino,White,90037,No,Central Ave,,,East
9416535,06/02/2015,8:07:10,06/02/2015 08:17:00 AM,I Work Here,Several times a week,10-30 minutes,Bus,Bus,None,Sometimes,,,Moderately Agree,,,,Moderately Agree,Never,Never,Never,Never,1984,Female,Hispanic or Latino,White,,No,Central Ave,Vernon,MLK Jr.,East
9416536,06/02/2015,8:17:21,06/02/2015 08:18:00 AM,I Live Here,Daily,,On foot,Bus,$5-10,Often,Moderately Disagree,,,,Moderately Agree,Moderately Agree,,Never,Sometimes,Sometimes,Sometimes,1941,Male,Non-Hispanic,Black,90011,No,Central Ave,,,East
9416537,06/02/2015,9:05:44,06/02/2015 09:08:00 AM,I Live Here,Daily,< 10 minutes,Bus,On foot,None,Often,Moderately Disagree,Moderately Disagree,,,Moderately Agree,,Moderately Disagree,Never,Never,Never,Never,,Male,Non-Hispanic,Black,90011,No,Central Ave,,,East
9416538,06/02/2015,9:10:12,06/02/2015 09:12:00 AM,I Live Here,Daily,10-30 minutes,Bus,On foot,$10-30,Never,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Agree,,,Sometimes,Never,Never,Sometimes,,Female,Hispanic or Latino,White,90011,No,Central Ave,,,East
9416539,06/02/2015,9:15:44,06/02/2015 09:19:00 AM,clinic,Several times a month,,Bus,Bus,None,Never,Strongly Disagree,,Moderately Disagree,,Moderately Agree,,Moderately Agree,Never,Never,Never,Never,1951,Female,Hispanic or Latino,White,90280,No,Central Ave,,,East
9416540,06/02/2015,9:23:32,06/02/2015 09:25:00 AM,"Passing through en route to somewhere else, To shop",,10-30 minutes,Bus,Bus,$5-10,Never,Moderately Disagree,,,,,,Moderately Agree,Never,Never,Never,Never,,Male,Hispanic or Latino,White,,No,Central Ave,,,East
9416541,06/02/2015,9:25:54,06/02/2015 09:28:00 AM,I Live Here,Several times a week,10-30 minutes,On foot,On foot,$10-30,Never,Moderately Disagree,Moderately Agree,Moderately Agree,,Moderately Agree,,Moderately Disagree,Often,Never,Never,Often,1977,Female,Hispanic or Latino,White,90011,No,Central Ave,,,East
9416542,06/02/2015,9:30:45,06/02/2015 09:32:00 AM,Passing through en route to somewhere else,,10-30 minutes,Bus,Bus,Less than $5,,Moderately Disagree,Moderately Disagree,Moderately Disagree,,,,Moderately Agree,Never,Never,Never,Never,1951,Male,Hispanic or Latino,White,90011,No,Central Ave,,,East
9416543,06/02/2015,9:39:12,06/02/2015 09:41:00 AM,I Live Here,Daily,10-30 minutes,On foot,Bus,$5-10,Never,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Agree,,Moderately Agree,Never,Sometimes,Never,Never,1944,Male,Hispanic or Latino,White,90011,No,Central Ave,,,East
9416544,06/02/2015,9:42:14,06/02/2015 09:44:00 AM,Passing through en route to somewhere else,Daily,10-30 minutes,Bus,On foot,Less than $5,Often,Moderately Disagree,,Moderately Disagree,,Moderately Agree,,,Sometimes,Never,Never,Never,,Female,Non-Hispanic,Black,90016,No,Central Ave,,,East
9416545,06/02/2015,9:57:37,06/02/2015 10:00:00 AM,I Live Here,Several times a week,10-30 minutes,Bike,On foot,$5-10,Often,Moderately Agree,Moderately Agree,Moderately Agree,,,,,Sometimes,Never,Never,Sometimes,,Male,Hispanic or Latino,White,90011,No,Central Ave,,,East
9416546,06/02/2015,10:20:53,06/02/2015 10:23:00 AM,Passing through en route to somewhere else,Several times a week,10-30 minutes,On foot,Bus,$10-30,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Agree,,Moderately Agree,Never,Never,Never,Never,,Female,Hispanic or Latino,White,90011,No,Central Ave,,,East
9416547,06/02/2015,10:36:37,06/02/2015 10:41:00 AM,I Live Here,Daily,10-30 minutes,On foot,Bus,None,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Moderately Disagree,Moderately Disagree,Never,Never,Never,Never,,Female,Non-Hispanic,Black,90011,No,Central Ave,,,East
9416548,06/02/2015,10:59:22,06/02/2015 11:01:00 AM,I Live Here,Daily,30 minutes - 1 hour,On foot,Bus,$5-10,Sometimes,,Moderately Disagree,,,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Never,1988,Male,Non-Hispanic,Black,90011,No,Central Ave,,,East
9416549,06/02/2015,11:01:44,06/02/2015 11:02:00 AM,"I Live Here, I Work Here",Daily,30 minutes - 1 hour,On foot,Bus,$5-10,Often,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Agree,Moderately Agree,Moderately Agree,Never,Never,Never,Often,1986,Male,Non-Hispanic,Black,90011,No,Central Ave,,,East
9416550,06/02/2015,11:09:23,06/02/2015 11:11:00 AM,I Live Here,Daily,,Bus,On foot,Greater than $30,Often,Moderately Disagree,,Moderately Disagree,,Moderately Agree,,Moderately Agree,Sometimes,Never,Never,Sometimes,,Female,Hispanic or Latino,White,90011,No,Central Ave,,,East
9416551,06/02/2015,11:16:14,06/02/2015 11:18:00 AM,Passing through en route to somewhere else,,10-30 minutes,Bus,Bus,None,Never,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,,,,Never,Never,Never,Never,,Female,Hispanic or Latino,White,90027,No,Central Ave,,,East
9416552,06/02/2015,11:19:10,06/02/2015 11:21:00 AM,"I Work Here, Passing through en route to somewhere else",Daily,,Bus,Car,$5-10,Never,Moderately Disagree,,,Moderately Agree,Moderately Agree,,Moderately Agree,Sometimes,Never,Never,Sometimes,1982,Female,Hispanic or Latino,White,90003,No,Central Ave,,,East
9416553,06/02/2015,11:21:59,06/02/2015 11:25:00 AM,Passing through en route to somewhere else,Several times a month,30 minutes - 1 hour,Bus,On foot,Greater than $30,Never,,,Moderately Agree,,Moderately Agree,,,Sometimes,Never,Never,Sometimes,,Female,Hispanic or Latino,White,90015,No,Central Ave,,,East
9416554,06/02/2015,11:25:33,06/02/2015 11:28:00 AM,I Live Here,Daily,,On foot,Bus,$5-10,Sometimes,Moderately Agree,Moderately Disagree,Moderately Agree,,Moderately Agree,,Moderately Disagree,Never,Never,Never,Never,1967,Male,Hispanic or Latino,White,90011,No,Central Ave,,,East
9416555,06/02/2015,11:32:39,06/02/2015 11:35:00 AM,"Passing through en route to somewhere else, clinic",Once a week,,Bus,Bus,Less than $5,Never,,Moderately Agree,Moderately Disagree,,Moderately Agree,,,Never,Never,Never,Never,1952,Male,Hispanic or Latino,White,91101,No,Central Ave,,,East
9416556,06/02/2015,11:49:08,06/02/2015 12:00:00 PM,To shop,Several times a month,30 minutes - 1 hour,Bus,Bus,Greater than $30,Sometimes,Moderately Disagree,,,,Moderately Agree,,,Never,Never,Never,Never,,Female,Hispanic or Latino,White,90011,No,Central Ave,,,East
9416557,06/02/2015,12:00:17,06/02/2015 12:03:00 PM,To shop,Several times a month,30 minutes - 1 hour,Bus,On foot,$10-30,Sometimes,Moderately Disagree,Moderately Disagree,,,Moderately Agree,,,Never,Never,Never,Sometimes,,Female,Hispanic or Latino,White,90011,No,Central Ave,,,East
9416559,06/02/2015,12:03:03,06/02/2015 12:07:00 PM,I Live Here,Daily,30 minutes - 1 hour,On foot,Bus,$5-10,Often,Moderately Disagree,,,,Moderately Agree,,Moderately Agree,Never,Sometimes,Sometimes,Sometimes,1957,Male,Hispanic or Latino,White,90011,No,Central Ave,,,East
9416560,06/02/2015,12:15:35,06/02/2015 12:31:00 PM,To shop,,10-30 minutes,Bus,Bus,None,Never,Moderately Agree,,,,,,,Sometimes,Never,Never,Sometimes,,Male,Hispanic or Latino,White,90016,No,Central Ave,,,East
9416561,06/02/2015,12:32:13,06/02/2015 12:35:00 PM,Passing through en route to somewhere else,Once a week,10-30 minutes,Bus,Bus,None,Never,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Agree,,Moderately Agree,Never,Never,Never,Sometimes,,Male,Hispanic or Latino,White,,No,Central Ave,,,East
9416562,06/02/2015,12:35:17,06/02/2015 12:36:00 PM,Passing through en route to somewhere else,Once a week,10-30 minutes,Bus,Bus,None,Sometimes,Moderately Disagree,Moderately Disagree,,,Moderately Agree,,,Never,Sometimes,Never,Sometimes,,Female,Hispanic or Latino,White,,No,Central Ave,,,East
9416563,06/02/2015,12:37:18,06/02/2015 12:39:00 PM,I Live Here,Several times a week,10-30 minutes,On foot,On foot,$5-10,Sometimes,Moderately Disagree,Moderately Disagree,,,,,Moderately Agree,Never,Never,Never,Sometimes,,Female,Hispanic or Latino,White,90011,No,Central Ave,,,East
9416564,06/02/2015,12:42:35,06/02/2015 12:45:00 PM,clinic,Several times a week,,Bus,Bus,None,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Agree,,Moderately Agree,Never,Never,Never,Never,,Female,Hispanic or Latino,White,90037,No,Central Ave,,,East
9470048,06/06/2015,12:44:13,06/06/2015 12:45:00 PM,Passing through en route to somewhere else,,10-30 minutes,Bus,Car,None,Never,Moderately Disagree,Moderately Disagree,,,,,Moderately Agree,Never,Never,Never,Never,,Male,Non-Hispanic,White,,No,Cesar Chavez,,,South
9416565,06/02/2015,12:49:09,06/02/2015 12:52:00 PM,I Live Here,Daily,30 minutes - 1 hour,Bus,On foot,$10-30,Sometimes,Moderately Agree,Moderately Agree,Moderately Agree,,Moderately Agree,,Moderately Agree,Sometimes,Never,Never,Sometimes,1975,Female,Hispanic or Latino,White,90011,No,Central Ave,,,East
9416566,06/02/2015,13:00:38,06/02/2015 01:03:00 PM,I Live Here,Several times a week,,On foot,Bus,$10-30,Sometimes,Moderately Disagree,,Moderately Agree,,Moderately Agree,,,Never,Never,Never,Never,1977,Female,Hispanic or Latino,White,90011,No,Central Ave,,,East
9418898,06/02/2015,14:07:28,06/02/2015 02:10:00 PM,Passing through en route to somewhere else,Several times a month,,Bus,Bus,None,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Moderately Agree,,Moderately Agree,Sometimes,Never,Never,Sometimes,,Female,Hispanic or Latino,Black,90058,No,Central Ave,,,East
9418899,06/02/2015,14:10:47,06/02/2015 02:12:00 PM,"Passing through en route to somewhere else, clinic",Several times a month,,Bus,Bus,None,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Disagree,Moderately Disagree,,,Moderately Agree,Never,Never,Never,Sometimes,,Female,Hispanic or Latino,White,,No,Central Ave,,,East
9418900,06/02/2015,14:15:00,06/02/2015 02:18:00 PM,I Live Here,Daily,,On foot,Bus,Greater than $30,Sometimes,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,,Moderately Agree,Sometimes,Never,Never,Never,1974,Female,Hispanic or Latino,White,90011,No,Central Ave,,,East
9418901,06/02/2015,14:18:52,06/02/2015 02:28:00 PM,Passing through en route to somewhere else,Several times a month,10-30 minutes,Bus,Bus,$5-10,Never,Moderately Disagree,Moderately Disagree,Moderately Disagree,,Don't Know / No Opinion,,Moderately Agree,Never,Never,Never,Never,,Female,Non-Hispanic,Black,90011,No,Central Ave,,,East
9418903,06/02/2015,14:37:21,06/02/2015 02:39:00 PM,I Live Here,Daily,< 10 minutes,On foot,Bus,$10-30,Often,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,,Moderately Agree,Sometimes,Never,Never,Sometimes,1995,Female,Hispanic or Latino,White,90011,No,Central Ave,,,East
9418904,06/02/2015,14:55:23,06/02/2015 02:56:00 PM,I Work Here,Daily,10-30 minutes,Bus,Car,None,Sometimes,Moderately Disagree,Moderately Agree,,,,,Moderately Agree,Never,Never,Never,Never,,Male,Non-Hispanic,Black,90028,No,Central Ave,,,East
9418905,06/02/2015,15:10:21,06/02/2015 03:14:00 PM,Passing through en route to somewhere else,,10-30 minutes,Bus,Bus,None,Sometimes,,Moderately Disagree,,,Moderately Agree,,Moderately Agree,Never,Never,Never,Never,,Female,Hispanic or Latino,White,90011,No,Central Ave,,,East
9418907,06/02/2015,15:17:17,06/02/2015 03:19:00 PM,Passing through en route to somewhere else,Daily,,Bus,On foot,$10-30,Often,Moderately Disagree,,,,,,Moderately Agree,Never,Never,Never,Never,1986,Female,Non-Hispanic,Black,90087,No,Central Ave,,,East
